story_id,source_set,batch,transformation,source_story,rewritten_story,Is_valid,rationale,started_at,finished_at,duration_seconds,input_tokens,output_tokens,total_tokens,estimated_cost_usd,validation_errors
3,all_none,duplicate_paraphrase_all_none,PARAPHRASE_TRANSFORMATION,"As a Visitor, I want to sign up via github or google, so that that I don't have to enter lots of information and remember my password for yet another website.","As a Visitor, I want to register using github or google, so that I can avoid filling in a lot of details and having to remember another website password.",ok,"The rewritten story keeps the same role, sign-up options, and benefit while expressing the requirement in different wording.",2026-05-06T20:07:47.786049+00:00,2026-05-06T20:07:52.619210+00:00,4.834,913,193,1106,0.010355,[]
3,all_none,conflict_policy_all_none,POLICY_TRANSFORMATION,"As a Visitor, I want to sign up via github or google, so that that I don't have to enter lots of information and remember my password for yet another website.","As a security administrator, I want visitors to be prevented from signing up with GitHub or Google and required to create accounts using our verified email registration process, so that account access follows our approved identity policy.",ok,"The generated story keeps the same sign-up and identity-provider topic but changes the access policy to disallow GitHub or Google sign-up, which is materially incompatible with the source story allowing visitors to use those providers.",2026-05-06T20:07:52.622210+00:00,2026-05-06T20:07:59.917263+00:00,7.295,903,339,1242,0.014685,[]
3,all_none,conflict_state_all_none,STATE_OR_CONDITION_TRANSFORMATION,"As a Visitor, I want to sign up via github or google, so that that I don't have to enter lots of information and remember my password for yet another website.","As a Visitor, I want to sign up without using GitHub or Google, so that I can create an account even when I do not want to use a social login provider.",ok,"The generated story keeps the same visitor sign-up feature area but changes the central sign-up condition from using GitHub or Google to not using those providers, making the two stories materially incompatible as stated.",2026-05-08T13:52:27.595661+00:00,2026-05-08T13:52:46.039076+00:00,18.443,1086,663,1749,0.02532,[]
3,all_none,dependency_prerequisite_all_none,PREREQUISITE_TRANSFORMATION,"As a Visitor, I want to sign up via github or google, so that that I don't have to enter lots of information and remember my password for yet another website.","As an administrator, I want to configure GitHub and Google as approved sign-up providers so that visitors can use those accounts to register for the website.",ok,The generated story establishes the required provider configuration that must exist before visitors can sign up using GitHub or Google.,2026-05-06T20:08:59.848020+00:00,2026-05-06T20:09:04.687912+00:00,4.84,951,248,1199,0.012195,[]
4,all_none,duplicate_paraphrase_all_none,PARAPHRASE_TRANSFORMATION,"As a Publisher, I want to know what do next after signing up, so that that I can get going quickly.","As a Publisher, I want clear guidance on the next steps after I sign up, so that I can get started quickly.",ok,"The rewritten story keeps the same role, post-signup guidance need, and benefit of getting started quickly while using different wording.",2026-05-06T20:09:04.696289+00:00,2026-05-06T20:09:08.520148+00:00,3.824,903,192,1095,0.010275,[]
4,all_none,conflict_policy_all_none,POLICY_TRANSFORMATION,"As a Publisher, I want to know what do next after signing up, so that that I can get going quickly.","As a Publisher, I want the next-step onboarding guidance to be accessible only after my publisher account has been approved, so that unapproved signups cannot begin setup prematurely.",ok,"The generated story keeps the post-signup publisher onboarding topic but changes the governing access rule by requiring account approval before next-step guidance is available, which is materially incompatible with immediate guidance after signing up.",2026-05-06T20:09:08.525699+00:00,2026-05-06T20:09:14.754169+00:00,6.228,893,285,1178,0.013015,[]
4,all_none,conflict_state_all_none,STATE_OR_CONDITION_TRANSFORMATION,"As a Publisher, I want to know what do next after signing up, so that that I can get going quickly.","As a Publisher, I want to know what to do next before signing up, so that I can understand how to get started quickly.",ok,"The generated story keeps the onboarding guidance goal for Publishers but changes the central condition from after signing up to before signing up, making the applicable account state mutually incompatible while staying in the same backlog area.",2026-05-08T13:52:46.041074+00:00,2026-05-08T13:52:56.611823+00:00,10.571,1076,271,1347,0.01351,[]
4,all_none,dependency_prerequisite_all_none,PREREQUISITE_TRANSFORMATION,"As a Publisher, I want to know what do next after signing up, so that that I can get going quickly.","As a Publisher, I want to verify my email and activate my publisher account so that I can access the onboarding guidance for my next steps.",ok,The generated story establishes account activation as a necessary prior condition for accessing the post-sign-up next-step guidance described in the source story.,2026-05-06T20:09:20.837110+00:00,2026-05-06T20:09:27.463131+00:00,6.626,941,293,1234,0.013495,[]
5,all_none,duplicate_paraphrase_all_none,PARAPHRASE_TRANSFORMATION,"As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data.","As an Admin, I want to send an invitation for someone to join the platform, so they can begin contributing or working with data.",ok,"The rewritten story keeps the same Admin role, invitation capability, platform target, and intended benefit while expressing the requirement with different wording.",2026-05-06T20:09:27.469130+00:00,2026-05-06T20:09:32.729388+00:00,5.26,904,148,1052,0.00896,[]
5,all_none,conflict_policy_all_none,POLICY_TRANSFORMATION,"As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data.","As an Admin, I want invitations to join the platform to be sent only after an Organization Owner approves them, so that access is controlled before new users can contribute or use data.",ok,The generated story keeps the same invitation workflow but changes the governing access rule from Admins being able to invite directly to requiring Organization Owner approval before an invitation can be sent.,2026-05-06T20:09:32.736446+00:00,2026-05-06T20:09:36.942072+00:00,4.206,894,206,1100,0.01065,[]
5,all_none,conflict_state_all_none,STATE_OR_CONDITION_TRANSFORMATION,"As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data.","As an Admin, I want to invite someone to join the platform only when their account is inactive, so that they can start contributing or using data after reactivation.",ok,"The generated story keeps the same invitation capability but changes the account state under which inviting is allowed, from a general case to the inactive-account case, creating a materially different applicability condition.",2026-05-08T13:52:56.614829+00:00,2026-05-08T13:53:14.657140+00:00,18.042,1077,587,1664,0.022995,[]
5,all_none,dependency_prerequisite_all_none,PREREQUISITE_TRANSFORMATION,"As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data.","As an Admin, I want to configure the available user roles and data access groups so that new invitees can be assigned the right permissions when they join the platform.",ok,The generated story establishes the roles and access options needed before an admin can invite someone who will contribute or use data on the platform.,2026-05-06T20:09:53.128460+00:00,2026-05-06T20:09:58.289837+00:00,5.161,942,260,1202,0.01251,[]
25,all_none,duplicate_paraphrase_all_none,PARAPHRASE_TRANSFORMATION,"As a Consumer, I want to see how much the data has been downloaded, so that that I can choose most popular in the case when there are several alternatives for my use case.","As a Consumer, I want to view how often the data has been downloaded, so that I can select the most popular option when multiple alternatives fit my use case.",ok,"The rewritten story keeps the same role, need to see download popularity, and benefit of choosing the most popular alternative, while expressing it in clearer different wording.",2026-05-06T20:09:58.299170+00:00,2026-05-06T20:10:02.543848+00:00,4.244,916,175,1091,0.00983,[]
25,all_none,conflict_policy_all_none,POLICY_TRANSFORMATION,"As a Consumer, I want to see how much the data has been downloaded, so that that I can choose most popular in the case when there are several alternatives for my use case.","As a marketplace administrator, I want dataset download counts to be visible only to data owners and admins, so that consumers cannot rank alternatives based on popularity alone.",ok,The generated story keeps the same dataset download-count feature area but introduces an incompatible access-control rule that prevents consumers from seeing the metric requested in the source story.,2026-05-06T20:10:02.548299+00:00,2026-05-06T20:10:09.273765+00:00,6.725,906,290,1196,0.01323,[]
25,all_none,conflict_state_all_none,STATE_OR_CONDITION_TRANSFORMATION,"As a Consumer, I want to see how much the data has been downloaded, so that that I can choose most popular in the case when there are several alternatives for my use case.","As a Consumer, I want to see how much the data has been downloaded only for hidden datasets, so that I can compare interest before they are made public.",ok,"The generated story keeps the same download-visibility capability but changes the dataset visibility state under which the information is shown, from a general case to the hidden-dataset case, creating a materially different applicability condition.",2026-05-08T13:53:14.659140+00:00,2026-05-08T13:53:29.637388+00:00,14.978,1089,475,1564,0.019695,[]
25,all_none,dependency_prerequisite_all_none,PREREQUISITE_TRANSFORMATION,"As a Consumer, I want to see how much the data has been downloaded, so that that I can choose most popular in the case when there are several alternatives for my use case.","As a Platform Administrator, I want each dataset download to be recorded and linked to the correct dataset, so that reliable download counts are available for consumers.",ok,The generated story establishes the necessary tracking and data availability needed before consumers can view how much each dataset has been downloaded.,2026-05-06T20:10:20.822899+00:00,2026-05-06T20:10:25.541057+00:00,4.718,954,249,1203,0.01224,[]
26,all_none,duplicate_paraphrase_all_none,PARAPHRASE_TRANSFORMATION,"As a Publisher, I want to see real examples of published packages so that I can understand how useful and simple the datapackage format and the registry is.","As a Publisher, I want to view actual examples of published packages so that I can understand how useful and easy to use the datapackage format and the registry are.",ok,"The rewritten story keeps the same role, objective, target examples, and benefit while expressing the requirement in different wording.",2026-05-06T20:10:25.548362+00:00,2026-05-06T20:10:29.377150+00:00,3.829,910,192,1102,0.01031,[]
26,all_none,conflict_policy_all_none,POLICY_TRANSFORMATION,"As a Publisher, I want to see real examples of published packages so that I can understand how useful and simple the datapackage format and the registry is.","As a Registry administrator, I want real examples of published packages to be visible only to approved registry reviewers so that publisher content is not exposed to general Publishers without permission.",ok,The generated story stays in the same area of published package examples but introduces an incompatible access-control rule: Publishers can no longer freely view the examples; only approved registry reviewers may access them.,2026-05-06T20:10:29.382904+00:00,2026-05-06T20:10:35.981673+00:00,6.599,900,317,1217,0.01401,[]
26,all_none,conflict_state_all_none,STATE_OR_CONDITION_TRANSFORMATION,"As a Publisher, I want to see real examples of published packages so that I can understand how useful and simple the datapackage format and the registry is.","As a Publisher, I want to see real examples of draft packages so that I can understand how useful and simple the datapackage format and the registry is before publication.",ok,"The generated story keeps the same publisher role, example-viewing capability, and datapackage registry context, but changes the package state from published to draft, making the condition under which the examples apply materially incompatible.",2026-05-08T13:53:29.641390+00:00,2026-05-08T13:53:36.507299+00:00,6.866,1083,245,1328,0.012765,[]
26,all_none,dependency_prerequisite_all_none,PREREQUISITE_TRANSFORMATION,"As a Publisher, I want to see real examples of published packages so that I can understand how useful and simple the datapackage format and the registry is.","As a registry administrator, I want to seed the registry with approved public datapackage examples so that publishers have real published packages available to browse.",ok,"The generated story establishes the required prior availability of real published package examples in the registry, which is necessary before a publisher can view them as described in the source story.",2026-05-06T20:10:41.338642+00:00,2026-05-06T20:10:47.770359+00:00,6.431,948,365,1313,0.01569,[]
30,all_none,duplicate_paraphrase_all_none,PARAPHRASE_TRANSFORMATION,"As a Consumer, I want to download the data package in one file, so that that I don't have to download descriptor and each resource by hand.","As a Consumer, I want to get the full data package as a single file, so that I do not need to manually download the descriptor and every resource separately.",ok,"The rewritten story keeps the same role, objective, target data package, and benefit while expressing the requirement with different wording.",2026-05-06T20:10:47.775886+00:00,2026-05-06T20:10:51.675943+00:00,3.9,909,179,1088,0.009915,[]
30,all_none,conflict_policy_all_none,POLICY_TRANSFORMATION,"As a Consumer, I want to download the data package in one file, so that that I don't have to download descriptor and each resource by hand.","As a Data Owner, I want the one-file data package download to be available only to approved internal users, so that consumers cannot bypass the required per-resource access controls.",ok,"The generated story keeps the same data package download feature but changes the governing access policy by restricting bundled downloads to approved internal users, which conflicts with allowing consumers to download the full package in one file.",2026-05-06T20:10:51.686165+00:00,2026-05-06T20:10:58.619663+00:00,6.933,899,244,1143,0.011815,[]
30,all_none,conflict_state_all_none,STATE_OR_CONDITION_TRANSFORMATION,"As a Consumer, I want to download the data package in one file, so that that I don't have to download descriptor and each resource by hand.","As a Consumer, I want to download the data package as separate descriptor and resource files, so that I can work with each component individually.",ok,"The generated story keeps the same data package download feature area but changes the package condition from bundled into one file to split into separate descriptor and resource files, making the two stories materially incompatible.",2026-05-08T13:53:36.511395+00:00,2026-05-08T13:53:51.294324+00:00,14.782,1082,509,1591,0.02068,[]
30,all_none,dependency_prerequisite_all_none,PREREQUISITE_TRANSFORMATION,"As a Consumer, I want to download the data package in one file, so that that I don't have to download descriptor and each resource by hand.","As a Data Provider, I want to publish a data package with its descriptor and all associated resources included, so that consumers have a complete package available for single-file download.",ok,"The generated story establishes the necessary prior condition that the complete data package, including descriptor and resources, is published and available before a consumer can download it as one file.",2026-05-06T20:11:11.782876+00:00,2026-05-06T20:11:17.742809+00:00,5.959,947,299,1246,0.013705,[]
31,all_none,duplicate_paraphrase_all_none,PARAPHRASE_TRANSFORMATION,"As a Developer, I want to use data package as a node lib in my project, so that that I can depend on it using my normal dependency framework.","As a Developer, I want to include the data package as a Node library in my project, so that I can manage it with my normal dependency framework.",ok,"The rewritten story keeps the same role, objective, target package, and dependency-management benefit while expressing the requirement in different wording.",2026-05-06T20:11:17.752607+00:00,2026-05-06T20:11:21.785781+00:00,4.033,911,187,1098,0.010165,[]
31,all_none,conflict_policy_all_none,POLICY_TRANSFORMATION,"As a Developer, I want to use data package as a node lib in my project, so that that I can depend on it using my normal dependency framework.","As a platform administrator, I want the data package Node library to be installable only by approved internal projects, so that access to the package is controlled through our dependency registry.",ok,The generated story keeps the same data package and Node dependency context but changes the access policy from any developer using it in their project to only approved internal projects being allowed to install it.,2026-05-06T20:11:21.790809+00:00,2026-05-06T20:11:28.531751+00:00,6.741,901,327,1228,0.014315,[]
31,all_none,conflict_state_all_none,STATE_OR_CONDITION_TRANSFORMATION,"As a Developer, I want to use data package as a node lib in my project, so that that I can depend on it using my normal dependency framework.","As a Developer, I want to use the data package in my project when it is not packaged as a Node lib, so that I can still manage it through my normal dependency workflow.",ok,"The generated story keeps the same developer dependency-management context and target data package, but changes the central package condition from being available as a Node library to not being packaged as a Node library, making the two stories materially incompatible as stated.",2026-05-08T13:53:51.300332+00:00,2026-05-08T13:54:13.498388+00:00,22.199,1084,669,1753,0.02549,[]
31,all_none,dependency_prerequisite_all_none,PREREQUISITE_TRANSFORMATION,"As a Developer, I want to use data package as a node lib in my project, so that that I can depend on it using my normal dependency framework.","As a Developer, I want the data package to be published as a versioned Node package in the project package registry, so that I can install it through my normal dependency framework.",ok,The generated story establishes the required package availability and versioning needed before a developer can use the data package as a Node library dependency.,2026-05-06T20:11:41.335386+00:00,2026-05-06T20:11:46.003287+00:00,4.668,949,217,1166,0.011255,[]
32,all_none,duplicate_paraphrase_all_none,PARAPHRASE_TRANSFORMATION,"As a Consumer, I want to load a Data Package from R, so that that I can immediately start playing with it.","As a Consumer, I want to import a Data Package in R so that I can start exploring it right away.",ok,"The rewritten story keeps the same role, Data Package objective, R context, and immediate-use benefit while expressing the need in different wording.",2026-05-06T20:11:46.006286+00:00,2026-05-06T20:11:50.660264+00:00,4.654,904,227,1131,0.01133,[]
32,all_none,conflict_policy_all_none,POLICY_TRANSFORMATION,"As a Consumer, I want to load a Data Package from R, so that that I can immediately start playing with it.","As a Data Package owner, I want Consumers to be able to load my Data Package from R only after I have granted them access, so that restricted packages cannot be opened without permission.",ok,The generated story keeps the same Data Package loading from R feature area but introduces an incompatible access-control rule requiring owner-granted permission before a Consumer may load the package.,2026-05-06T20:11:50.665454+00:00,2026-05-06T20:11:56.370379+00:00,5.704,894,267,1161,0.01248,[]
32,all_none,conflict_state_all_none,STATE_OR_CONDITION_TRANSFORMATION,"As a Consumer, I want to load a Data Package from R, so that that I can immediately start playing with it.","As a Consumer, I want to load a Data Package outside of R, so that I can immediately start playing with it in a non-R environment.",ok,"The generated story keeps the same goal of loading a Data Package for immediate exploration but changes the runtime condition from using R to operating outside of R, making the two stories incompatible in the environment where the capability applies.",2026-05-08T13:54:13.506377+00:00,2026-05-08T13:54:27.285470+00:00,13.779,1077,430,1507,0.018285,[]
32,all_none,dependency_prerequisite_all_none,PREREQUISITE_TRANSFORMATION,"As a Consumer, I want to load a Data Package from R, so that that I can immediately start playing with it.","As a Consumer, I want to install an R library that supports Data Packages, so that my R environment is ready to open them.",ok,The generated story establishes the required R environment capability needed before a consumer can load a Data Package from R as described in the source story.,2026-05-06T20:12:08.129823+00:00,2026-05-06T20:12:14.757658+00:00,6.627,942,325,1267,0.01446,[]
35,all_none,duplicate_paraphrase_all_none,PARAPHRASE_TRANSFORMATION,"As a Consumer, I want to download a DataPackage's data one coherent SQLite database, so that that I can get it easily in one form.","As a Consumer, I want to download a DataPackage's data as a single coherent SQLite database so that I can access it easily in one format.",ok,"The rewritten story keeps the same role, objective, target data package, SQLite database format, and ease-of-access benefit while rephrasing the requirement.",2026-05-06T20:12:14.762757+00:00,2026-05-06T20:12:18.903038+00:00,4.14,909,204,1113,0.010665,[]
35,all_none,conflict_policy_all_none,POLICY_TRANSFORMATION,"As a Consumer, I want to download a DataPackage's data one coherent SQLite database, so that that I can get it easily in one form.","As a DataPackage owner, I want downloads of a DataPackage as one coherent SQLite database to be restricted to approved users only, so that unauthorized consumers cannot access the full dataset in one file.",ok,"The generated story keeps the same DataPackage SQLite download feature but changes the access-control rule from consumer availability to owner-controlled approved-user access, making it materially incompatible with the source permission expectation.",2026-05-06T20:12:18.908551+00:00,2026-05-06T20:12:28.077281+00:00,9.169,899,222,1121,0.011155,[]
35,all_none,conflict_state_all_none,STATE_OR_CONDITION_TRANSFORMATION,"As a Consumer, I want to download a DataPackage's data one coherent SQLite database, so that that I can get it easily in one form.","As a Consumer, I want to download a DataPackage's data as separate SQLite databases for each resource, so that I can handle each part independently.",ok,"The generated story keeps the same consumer download feature for DataPackage data in SQLite form, but changes the central state of the downloaded artifact from one coherent database to separate databases, making the two requirements incompatible as stated.",2026-05-08T13:54:27.290624+00:00,2026-05-08T13:54:45.554121+00:00,18.264,1082,656,1738,0.02509,[]
35,all_none,dependency_prerequisite_all_none,PREREQUISITE_TRANSFORMATION,"As a Consumer, I want to download a DataPackage's data one coherent SQLite database, so that that I can get it easily in one form.","As a DataPackage maintainer, I want to publish the package with validated data resources and metadata so that it can be prepared as one coherent SQLite database for consumers.",ok,The generated story establishes the necessary prior condition that the DataPackage's resources and metadata are available and valid before a consumer can download them as a coherent SQLite database.,2026-05-06T20:12:41.359552+00:00,2026-05-06T20:12:48.205502+00:00,6.845,947,356,1303,0.015415,[]
36,all_none,duplicate_paraphrase_all_none,PARAPHRASE_TRANSFORMATION,"As a Data Analyst, I want to compare different versions of some datapackage locally, so that that I can see schema changes clearly and adjust my analytics code to the desired schema version.","As a Data Analyst, I want to locally compare different versions of a datapackage so that I can clearly identify schema changes and adapt my analytics code to the schema version I need.",ok,"The rewritten story keeps the same role, local datapackage version comparison objective, and benefit of understanding schema changes to adjust analytics code, while expressing the requirement with different wording.",2026-05-06T20:12:48.212501+00:00,2026-05-06T20:12:53.412609+00:00,5.201,916,216,1132,0.01106,[]
36,all_none,conflict_policy_all_none,POLICY_TRANSFORMATION,"As a Data Analyst, I want to compare different versions of some datapackage locally, so that that I can see schema changes clearly and adjust my analytics code to the desired schema version.","As a Data Steward, I want local comparison of datapackage versions to be available only to the datapackage owner or analysts with explicit steward approval, so that schema changes are not exposed to unauthorized users.",ok,"The generated story stays in the datapackage version comparison area but introduces an incompatible access-control rule requiring ownership or steward approval, rather than allowing a data analyst to compare datapackage versions locally by default.",2026-05-06T20:12:53.422168+00:00,2026-05-06T20:13:00.184262+00:00,6.762,906,360,1266,0.01533,[]
